date;description;amount;category;merchant_city;type
5/0;1 R$ 1 1 R$;20.860,60;;;domestic
04/01;FARMACIA SAO JOAO 04/06;23,62;;;domestic
10/04;PAGAMENTO;9.232,62;PAGAMENTO;;payment
15/04;PAGAMENTO;3.000,00;PAGAMENTO;;payment
16/04;PAGAMENTO;4.000,00;PAGAMENTO;;payment
22/04;PAGAMENTO;3.000,00;PAGAMENTO;;payment
22/04;PAGAMENTO;500,00;PAGAMENTO;;payment
28/04;PAGAMENTO;1.500,00;PAGAMENTO;;payment
02/05;PAGAMENTO;500,00;PAGAMENTO;;payment
20/01;FARMACIA SAO JOAO 04/06;90,66;SAÚDE;PASSO FUNDO;domestic
22/01;PERFECT HEALTH 04/04;120,25;ALIMENTAÇÃO;PASSO FUNDO;domestic
22/01;FARMACIA SAO JOAO 04/06;38,34;SAÚDE;PASSO FUNDO;domestic
16/10;STREET WEAR COMPAN07/10;65,97;VESTUÁRIO;MARAU;domestic
23/01;MP *OCEANDROP 04/06;111,18;VESTUÁRIO;MARAU;domestic
19/10;STREET WEAR COMPAN07/10;49,99;VESTUÁRIO;MARAU;domestic
05/02;STREET WEAR COMPAN03/10;74,99;VESTUÁRIO;MARAU;domestic
13/11;FARMACIA SAO JOAO 06/06;44,78;SAÚDE;PASSO FUNDO;domestic
06/02;FARMACIA SAO JOAO 03/06;21,29;SAÚDE;PASSO FUNDO;domestic
24/11;FARMACIA SAO JOAO 06/06;22,65;SAÚDE;PASSO FUNDO;domestic
08/02;PANVEL FARMACIAS 03/03;83,88;SAÚDE;PASSO FUNDO;domestic
02/12;FARMACIA SAO JOAO 06/06;20,39;SAÚDE;PASSO FUNDO;domestic
11/02;DLOSS TRACKFIELD P03/06;203,25;SAÚDE;PASSO FUNDO;domestic
05/12;FARMACIA SAO JOAO 05/05;20,07;SAÚDE;PASSO FUNDO;domestic
13/02;BANANA JOE PASSO F03/03;98,26;SAÚDE;PASSO FUNDO;domestic
07/12;FARMACIA SAO JOAO 05/05;22,78;SAÚDE;PASSO FUNDO;domestic
18/02;FARMACIA SAO JOAO 03/06;54,25;SAÚDE;PASSO FUNDO;domestic
20/12;Manual Saude 05/06;99,12;SAÚDE;BARUERI;domestic
18/02;FARMACIA SAO JOAO 03/06;46,74;SAÚDE;BARUERI;domestic
21/12;297 BF PFUN 05/10;137,97;VESTUÁRIO;PASSO FUNDO;domestic
24/02;PANVEL FARMACIAS 03/03;58,09;VESTUÁRIO;PASSO FUNDO;domestic
26/12;FARMACIA SAO JOAO 05/05;59,41;SAÚDE;SOLEDADE;domestic
25/02;FARMACIA SAO JOAO 03/06;33,12;;;domestic
09/03;FARMACIA SAO JOAO 02/06;37,19;;;domestic
09/03;FARMACIA SAO JOAO -;0,20;;;domestic
16/03;FARMACIA SAO JOAO 02/06;67,07;;;domestic
16/03;FARMACIA SAO JOAO -;0,10;;;domestic
17/03;PANVEL FARMACIAS 02/03;44,07;;;domestic
17/03;PANVEL FARMACIAS -;0,04;;;domestic
20/03;FARMACIA SAO JOAO 02/06;65,57;;;domestic
20/03;FARMACIA SAO JOAO -;0,10;;;domestic
23/03;FARMACIA SAO JOAO 02/04;20,86;;;domestic
23/03;FARMACIA SAO JOAO 02/06;77,66;;;domestic
23/03;FARMACIA SAO JOAO -;0,05;;;domestic
23/03;FARMACIA SAO JOAO -;0,06;;;domestic
30/03;FARMACIA SAO JOAO 02/06;94,52;;;domestic
30/03;FARMACIA SAO JOAO -;0,25;;;domestic
31/03;FARMACIA SAO JOAO 02/06;104,71;;;domestic
31/03;FARMACIA SAO JOAO -;0,10;;;domestic
04/04;FRUTEIRA CIMAROSTI;7,00;;;domestic
04/04;APPLE.COM/BILL;99,90;;;domestic
04/04;APPLE.COM/BILL -;53,28;;;domestic
05/04;ViaQualitaExpress;37,00;;;domestic
05/04;LATAM AIRLINES PFB;751,10;;;domestic
05/04;PARTICIPACOES;21,85;;;domestic
06/04;APPLE.COM/BILL;69,90;;;domestic
11/04;IFD*IFOOD CLUB;5,95;;;domestic
12/04;APPLE.COM/BILL;277,80;;;domestic
13/04;APPLE.COM/BILL;79,90;;;domestic
13/04;APPLE.COM/BILL;44,90;;;domestic
14/04;APPLE.COM/BILL;44,90;;;domestic
15/04;APPLE.COM/BILL;259,80;;;domestic
15/04;APPLE.COM/BILL;399,90;;;domestic
16/04;APPLE.COM/BILL;399,90;HOBBY;SAO PAULO;domestic
16/04;APPLE.COM/BILL;54,90;HOBBY;SAO PAULO;domestic
16/04;APPLE.COM/BILL;44,90;;;domestic
16/04;APPLE.COM/BILL;224,90;;;domestic
16/04;APPLE.COM/BILL;74,80;;;domestic
16/06;RECARGAPAY *LEONA11/12;40,44;;;domestic
16/06;RECARGAPAY *LEONA11/12;12,74;;;domestic
06/04;Autohof Frankfurt;29,24;;;domestic
16/06;RECARGAPAY *LEONA11/12;20,50;;;domestic
16/06;RECARGAPAY *LEONA11/12;21,61;;;domestic
16/06;RECARGAPAY *LEONA11/12;60,94;;;domestic
06/04;Selecta Deutschland Gm;34,82;;;domestic
16/06;RECARGAPAY *LEONA11/12;13,30;;;domestic
16/06;RECARGAPAY *LEONA11/12;14,96;;;domestic
16/06;= RECA = RGAPA = Y *LEO = NA11/1 = 2 ===;11,63;;;domestic
07/04;FARMATRAIANO;95,60;;;domestic
07/04;BIGLIETTERIA MUSEI CAP;123,93;;;domestic
17/06;PICPAY LBL INTEGRA11/12;11,59;;;domestic
07/04;GRUPPO PLANET S.R.L.S.;439,67;;;domestic
17/06;PICPAY LBL INTEGRA11/12;46,13;;;domestic
07/04;EXCHANGE EDICOLA SOUVE;28,27;;;domestic
07/04;ISLAM NAZRUL;63,71;;;domestic
27/11;MP *OCEANDROP 06/06;64,70;;;domestic
07/04;RISTORANTE IL GLADIATO;141,59;;;domestic
05/01;MERCADOLIVRE*MERCA04/10;67,11;;;domestic
06/01;DM *TEMU 04/06;65,88;;;domestic
08/04;FARMACIA DEL SENATO;141,34;;;domestic
23/01;ESSENTIAL NUTRITIO04/06;155,35;;;domestic
08/04;FARMATRAIANO;134,73;;;domestic
06/02;FPay*DOM5Neres 03/03;132,34;;;domestic
10/03;MERCADOLIVRE*LOJUR02/02;225,73;;;domestic
08/04;SPRED;62,84;;;domestic
10/03;MERCADOLIVRE*LOJURESC -;0,01;;;domestic
08/04;GUSTO 2004 SRL;229,52;;;domestic
17/03;MP *BECLOT 02/02;94,70;;;domestic
17/03;MP *BECLOT -;0,01;;;domestic
08/04;TRENITALIA - LEFRECCE;723,29;;;domestic
04/04;SUPERFORCE PASSO FUND;297,00;HOBBY;PASSO FUNDO;domestic
08/04;RAVIOLO D'ORO;78,00;;;domestic
05/04;99APP *99App;17,93;;;domestic
06/04;ESSENTIAL NUTRITIO01/06;36,00;;;domestic
08/04;LIBRERIA ANTIQUARIA CA;354,57;TURISMO E ENTRETENIM;SAO PAULO;domestic
12/04;AIRBNB * HMTZDQ9SXE;2.413,42;TURISMO E ENTRETENIM;SAO PAULO;domestic
08/04;SOUVENIR SHOP;14,15;DIVERSOS;SAO PAULO;domestic
15/04;Disney Plus;43,90;DIVERSOS;SAO PAULO;domestic
19/04;MERCADOLIVRE*MERCA01/03;50,17;;;domestic
09/04;HOTEL MANAGEMENT SRL;216,90;;;domestic
20/04;MERCADO*TASSCOMPONENT;54,70;VESTUÁRIO;BIRIGUI;domestic
09/04;BELLITO SERAFINA;107,74;DIVERSOS;SAO PAULO;domestic
23/04;NETFLIX.COM;20,90;DIVERSOS;SAO PAULO;domestic
01/05;BMB*SEANET RS;150,00;DIVERSOS;CARAZINHO;domestic
09/04;RISTORANTE CASA MARIA;198,87;DIVERSOS;CARAZINHO;domestic
01/05;APPLE.COM/BILL;27,90;HOBBY;SAO PAULO;domestic
09/04;BUFFET ROMA TERMINI;23,18;;;domestic
10/04;SumUp *BOTI SRL;56,12;;;domestic
1/04;CAFFE PEDROCCHI PLATEA;78,56;;;domestic
1/04;FOOD TIME DI JI XIAOXI;34,25;;;domestic
2/04;ANTICA FARMACIA AL MON;60,31;;;domestic
3/04;COMUNE DI PADOVA;248,38;;;domestic
3/04;ITALIARAIL.COM;1.381,25;;;domestic
4/04;Uniqlo Termini;732,41;;;domestic
4/04;Sorbillo SSP Roma Term;131,78;;;domestic
4/04;GELATERIA DEL PANTHEON;215,86;;;domestic
4/04;DITTA POLZELLA MIRIAM;87,13;;;domestic
4/04;SUPERMERCATO CARREFOUR;188,66;;;domestic
4/04;COOPERATIVA GRUPPO TA.;106,00;;;domestic
4/04;STYLE S.R.L. UNIPERSO.;28,32;;;domestic
4/04;CARREFOUR EXPRESS;47,63;;;domestic
5/04;Uniqlo Via del Corso;2.650,68;;;domestic
5/04;Sum*Hype Clothinga - R;1.450,97;;;domestic
5/04;FARMACIA DEL SENATO;49,84;;;domestic
5/04;RISTORANTE DOMIZIANO;378,10;;;domestic
5/04;CASA & BOTTEGA S.R.L.;32,46;;;domestic
5/04;AS ROMA STORE;397,04;;;domestic
5/04;SUEDE;346,51;;;domestic
5/04;SUPERMERCATO CARREFOUR;131,08;;;domestic
6/04;Uniqlo Via del Corso;2.404,22;;;domestic
6/04;ADIDAS ITALY S.P.A.;323,50;;;domestic
6/04;SumUp *supermarket;35,95;;;domestic
1/05;ENVATO;198,00;;;domestic
22/04;FARMACIA SAO JOAO 02/06;126,73;;;domestic
02/05;FARMACIA SAO JOAO 02/06;82,35;;;domestic
02/05;LOCOFY.AI;64,48;;;domestic
26/11;BOLETO PARCELADO 06/06;34,94;;;domestic
05/01;BOLETO PARCELADO 04/04;258,59;;;domestic
04/04;ACELERADOR DE PONTOS;212,83;;;domestic
16/06;RECARGAPAY *LEONA12/12;18,28;;;domestic
16/06;RECARGAPAY *LEONA12/12;11,08;;;domestic
16/06;RECARGAPAY *LEONA12/12;40,44;;;domestic
16/06;RECARGAPAY *LEONA12/12;12,74;;;domestic
16/06;RECARGAPAY *LEONA12/12;20,50;;;domestic
16/06;RECARGAPAY *LEONA12/12;21,61;;;domestic
16/06;RECARGAPAY *LEONA12/12;60,94;;;domestic
16/06;RECARGAPAY *LEONA12/12;13,30;;;domestic
16/06;RECARGAPAY *LEONA12/12;14,96;;;domestic
16/06;RECARGAPAY *LEONA12/12;11,63;;;domestic
17/06;PICPAY LBL INTEGRA12/12;11,59;;;domestic
17/06;PICPAY LBL INTEGRA12/12;46,13;;;domestic
16/10;STREET WEAR COMPAN08/10;65,97;;;domestic
19/10;STREET WEAR COMPAN08/10;49,99;;;domestic
20/12;Manual Saude 06/06;99,12;;;domestic
21/12;297 BF PFUN 06/10;137,97;;;domestic
04/01;FARMACIA SAO JOAO 05/06;23,62;;;domestic
05/01;MERCADOLIVRE*MERCA05/10;67,11;;;domestic
06/01;DM *TEMU 05/06;65,88;;;domestic
11/01;FARMACIA SAO JOAO 05/06;39,51;;;domestic
13/01;FARMACIA SAO JOAO 05/06;113,67;;;domestic
20/01;FARMACIA SAO JOAO 05/06;90,66;;;domestic
22/01;FARMACIA SAO JOAO 05/06;38,34;;;domestic
23/01;MP *OCEANDROP 05/06;111,18;;;domestic
23/01;ESSENTIAL NUTRITIO05/06;155,35;;;domestic
05/02;STREET WEAR COMPAN04/10;74,99;;;domestic
06/02;FARMACIA SAO JOAO 04/06;21,29;;;domestic
11/02;DLOSS TRACKFIELD P04/06;203,25;;;domestic
18/02;FARMACIA SAO JOAO 04/06;54,25;;;domestic
18/02;FARMACIA SAO JOAO 04/06;46,74;;;domestic
25/02;FARMACIA SAO JOAO 04/06;33,12;;;domestic
09/03;FARMACIA SAO JOAO 03/06;37,19;;;domestic
16/03;FARMACIA SAO JOAO 03/06;67,07;;;domestic
17/03;PANVEL FARMACIAS 03/03;44,07;;;domestic
20/03;FARMACIA SAO JOAO 03/06;65,57;;;domestic
23/03;FARMACIA SAO JOAO 03/04;20,86;;;domestic
23/03;FARMACIA SAO JOAO 03/06;77,66;;;domestic
30/03;FARMACIA SAO JOAO 03/06;94,52;;;domestic
31/03;FARMACIA SAO JOAO 03/06;104,71;;;domestic
06/04;ESSENTIAL NUTRITIO02/06;36,00;;;domestic
18/04;FARMACIA SAO JOAO 02/06;99,98;;;domestic
19/04;MERCADOLIVRE*MERCA02/03;50,17;;;domestic
20/04;FARMACIA SAO JOAO 02/06;20,89;;;domestic
